city,attraction,category,description,image,rating,popularity,entryFee,visitDuration,bestSeason,openingHours,latitude,longitude,detourDistance,extraTime,extraFuelCost,importantNotes
Sargodha,Company Bagh,Family,Central municipal park featuring mature trees and flower gardens.,images/sargodha/company_bagh.jpg,4.2,70,10,1.5,Spring,07:00 AM - 08:00 PM,32.080,72.675,1.5,5,40,Jogging tracks and children play area.
Sargodha,Remount Depot,Historical,Historic British-era horse and mule breeding facility.,images/sargodha/remount_depot.jpg,4.3,74,0,2.0,Winter,08:00 AM - 04:00 PM,32.050,72.650,6.0,12,140,Extensive equine breeding grounds.
Sargodha,Canal View Park,Nature,Riverside leisure park along the Lower Jhelum Canal.,images/sargodha/canal_view_park.jpg,4.2,72,20,1.5,Spring,08:00 AM - 08:00 PM,32.100,72.690,4.0,10,100,Canal walkway and family tea spots.
Sialkot,Iqbal Manzil,Historical,Birthplace of Pakistan's national poet Allama Muhammad Iqbal.,images/sialkot/iqbal_manzil.jpg,4.7,92,0,1.5,All Year,08:30 AM - 05:00 PM,32.498,74.538,2.0,6,50,Houses personal library, furniture, and rare photos of Iqbal.
Sialkot,Sialkot Fort,Historical,1000-year-old historic fort built by Raja Salivahan.,images/sialkot/sialkot_fort.jpg,4.3,78,0,1.5,All Year,08:00 AM - 06:00 PM,32.495,74.530,1.5,5,40,Elevated mound overlooking old Sialkot city.
Sialkot,Clock Tower Sialkot,Historical,Colonial monument erected in 1922 in Sadar Bazaar.,images/sialkot/clock_tower.jpg,4.2,72,0,0.5,All Year,24 Hours,32.492,74.532,1.2,4,30,Centrally located in Sadar Bazaar.
Sialkot,Marala Headworks,Nature,Hydraulic engineering dam on the Chenab River built in 1968.,images/sialkot/marala_headworks.jpg,4.6,88,0,2.5,Winter,08:00 AM - 06:00 PM,32.670,74.460,24.0,35,600,Boating, fishing, and bird watching.
Sialkot,Holy Trinity Church,Historical,Historic Victorian Gothic church established in 1852.,images/sialkot/holy_trinity_church.jpg,4.3,74,0,1.0,All Year,09:00 AM - 05:00 PM,32.502,74.542,3.0,8,70,Tall arched windows and steepled tower.
Sukkur,Lansdowne Bridge,Historical,Historic 1889 cantilever bridge across the Indus River.,images/sukkur/lansdowne_bridge.jpg,4.7,93,0,1.5,All Year,24 Hours,27.700,68.860,2.0,5,40,Engineering marvel spanning the Indus River.
Sukkur,Sukkur Barrage,Historical,Monumental 1932 Indus River irrigation dam with 66 spans.,images/sukkur/sukkur_barrage.jpg,4.8,95,0,2.0,All Year,08:00 AM - 07:00 PM,27.685,68.845,4.0,10,80,Museum and barrage view promenade.
Sukkur,Sadbhalo Complex,Culture,Spiritual island temple on the Indus River founded in 1823.,images/sukkur/sadbhalo.jpg,4.6,86,50,2.0,Winter,08:00 AM - 05:00 PM,27.695,68.855,3.0,12,70,Accessible via local motorboat across Indus.
Sukkur,Minaret of Mir Masum Shah,Historical,1607 brick minaret offering aerial views of old Sukkur.,images/sukkur/mir_masum_minaret.jpg,4.4,80,20,1.0,All Year,08:00 AM - 06:00 PM,27.706,68.858,1.5,4,35,Spiral stone staircase to top view.
Sukkur,Bukkur Island,Historical,Historic fortified island separating Sukkur and Rohri.,images/sukkur/bukkur_island.jpg,4.3,75,0,1.5,All Year,08:00 AM - 05:00 PM,27.698,68.862,2.5,8,60,Fortified island between Sukkur and Rohri bridges.
Turbat,Punno Fort (Meri Kalat),Historical,Ancient mud fort associated with the romance of Punnu and Sassi.,images/turbat/punno_fort.jpg,4.6,85,0,2.0,Winter,08:00 AM - 05:00 PM,26.010,63.020,10.0,20,250,Historic fortress mound on the Kech River bank.
Turbat,Kech River Bank,Nature,Picturesque riverside area popular for date palm groves.,images/turbat/kech_river.jpg,4.3,74,0,1.5,Winter,07:00 AM - 06:00 PM,26.000,63.050,3.0,8,75,Shaded palm groves along freshwater riverbed.
Turbat,Mirani Dam,Nature,Large flood control dam constructed on the Dasht River.,images/turbat/mirani_dam.jpg,4.5,82,0,3.0,Winter,08:00 AM - 05:00 PM,26.050,62.740,42.0,55,1000,Lakeside scenery and fresh air.
Turbat,Koh-e-Murad,Culture,Sacred hill feature located near the town of Turbat.,images/turbat/koh_e_murad.jpg,4.4,78,0,1.5,All Year,06:00 AM - 08:00 PM,26.015,63.060,5.0,10,120,Spiritual gathering site.
Turbat,Absor Palm Gardens,Nature,Extensive date palm orchards famous for high-quality production.,images/turbat/absor_gardens.jpg,4.2,70,0,1.5,Summer,07:00 AM - 06:00 PM,25.990,63.070,6.0,12,150,Walking trails under lush date palms.
